ID,Movie Title,Description,Genre,Release Year
1,"The Shawshank Redemption","Wrongfully accused Andy Dufresne is sentenced to life in Shawshank prison, where he befriends Red. The film narrates his journey of resilience, hope, and quest for freedom.","Drama/Crime",1994
2,"The Godfather","The film depicts the transformation of Michael Corleone from a reluctant outsider to a ruthless mafia boss. It explores the complexities of a powerful Italian-American crime family led by patriarch Don Vito Corleone.","Crime/Drama",1972
3,"The Dark Knight","Batman, with the help of ally Lt. Jim Gordon and DA Harvey Dent, takes on the underworld to keep Gotham City safe. Things escalate when the Joker causes havoc, pushing Batman to the edge.","Action/Crime/Drama",2008
4,"Pulp Fiction","This Quentin Tarantino masterpiece intertwines multiple storylines featuring mobsters, a boxer, a gangster's wife, and a pair of diner bandits. The film is known for its eclectic dialogue, ironic mix of humor, and non-linear storyline.","Crime/Drama",1994
5,"Fight Club","A disillusioned man suffering from insomnia meets a strange soap salesman named Tyler Durden and together they form a fight club as a form of radical psychotherapy. The film is a provocative exploration of consumer culture, identity, and reality.","Drama",1999
6,"Forrest Gump","The movie follows the life of Forrest Gump, a man with a low IQ but good intentions, as he journeys through major historical events in the 20th century. Along the way, he wins medals, becomes a ping-pong champion, creates a famous shrimp fishing fleet, and inspires people with his childlike optimism.","Drama/Romance",1994
7,"Inception","Dom Cobb is a thief with the ability to enter people's dreams and steal their secrets. Cobb gets a chance at redemption when he is offered a seemingly impossible task: to plant an idea in someone's mind.","Action/Adventure/Sci-Fi",2010
8,"The Matrix","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers. The film explores philosophical themes like the nature of reality, perception, and freedom.","Action/Sci-Fi",1999
9,"The Lord of the Rings: The Fellowship of the Ring","A young hobbit, Frodo, is entrusted with an ancient ring and must journey across Middle-earth to destroy it in the fires of Mount Doom. He is joined by a fellowship of companions who must thwart the Dark Lord Sauron's plans.","Adventure/Drama/Fantasy",2001
10,"Star Wars: Episode V - The Empire Strikes Back","After the rebels have been brutally overrun by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.","Action/Adventure/Fantasy",1980
11,"The Silence of the Lambs","Clarice Starling, a young FBI trainee, seeks the advice of the imprisoned Dr. Hannibal Lecter, a brilliant psychiatrist and cannibalistic serial killer to apprehend another serial killer, known only as ""Buffalo Bill"".","Crime/Drama/Thriller",1991
12,"Interstellar","A group of explorers make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. The film investigates concepts of time, love, and humanity's place in the cosmos.","Adventure/Drama/Sci-Fi",2014
13,"The Usual Suspects","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime/Mystery/Thriller",1995
14,"The Lion King","A young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","Animation/Adventure/Drama",1994
15,"Back to the Future","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure/Comedy/Sci-Fi",1985
16,"The Pianist","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","Biography/Drama/Music",2002
17,"Gladiator","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Action/Adventure/Drama",2000
18,"Schindler's List","In German-occupied Polandduring World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography/Drama/History",1993
19,"Saving Private Ryan","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama/War",1998
20,"American History X","A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.","Drama/Crime",1998
21,"The Departed","An undercover cop and a mole in the police try to identify each other while infiltrating an Irish gang in South Boston.","Crime/Drama/Thriller",2006
22,"The Prestige","Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.","Drama/Mystery/Sci-Fi",2006
23,"The Green Mile","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime/Drama/Fantasy",1999
24,"The Godfather: Part II","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime/Drama",1974
25,"12 Angry Men","A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","Drama",1957
